"","state","year","cigsale","lnincome","beer","age15to24","retprice","stateno"
"204","Georgia",1987,129.3,9.930798,22.3,0.16591252,103.9,7
"205","Georgia",1988,124.1,9.952863,21.7,0.16223532,109.2,7
"206","Georgia",1989,117.1,9.953909,21.5,0.15855812,122.4,7
"207","Georgia",1990,113.8,9.953298,22.3,0.15488091,132.3,7
"208","Georgia",1991,109.6,9.941865,21.2,NA,138.2,7
"209","Georgia",1992,109.2,9.958565,21.6,NA,159.5,7
"210","Georgia",1993,109.2,9.967873,21.7,NA,167.2,7
"211","Georgia",1994,107.8,9.9982395,21.4,NA,147.8,7
"212","Georgia",1995,100.3,10.055438,21.5,NA,153.8,7
"213","Georgia",1996,102.7,10.079771,22,NA,156.1,7
"214","Georgia",1997,100.6,10.081408,21.6,NA,158.9,7
"215","Georgia",1998,100.5,NA,NA,NA,168.7,7
"216","Georgia",1999,97.1,NA,NA,NA,188,7
"217","Georgia",2000,88.4,NA,NA,NA,257.4,7
"218","Idaho",1970,102.4,NA,NA,0.17812061,33.8,8
"219","Idaho",1971,108.5,NA,NA,0.17609245,33.6,8
"220","Idaho",1972,126.1,9.651839,NA,0.1740643,33.7,8
"221","Idaho",1973,121.8,9.721051,NA,0.17203613,36.3,8
"222","Idaho",1974,125.6,9.746263,NA,0.17000796,38,8
"223","Idaho",1975,123.3,9.692201,NA,0.1679798,40.3,8
"224","Idaho",1976,125.1,9.731101,NA,0.16595164,42.5,8
"225","Idaho",1977,125,9.726507,NA,0.16392347,45.6,8
"226","Idaho",1978,122.8,9.768933,NA,0.1618953,51.5,8
"227","Idaho",1979,117.5,9.737336,NA,0.15986715,55.4,8
"228","Idaho",1980,115.2,9.711496,NA,0.15783899,56.4,8
"229","Idaho",1981,114.1,9.684898,NA,0.15638342,59.2,8
"230","Idaho",1982,111.5,9.645257,NA,0.15492785,67.6,8
"231","Idaho",1983,111.3,9.694544,NA,0.15347229,76.5,8
"232","Idaho",1984,103.6,9.707316,23.2,0.15201671,88.5,8
"233","Idaho",1985,100.7,9.715257,22.3,0.15056115,97.6,8
"234","Idaho",1986,96.7,9.736214,22.5,0.1491056,99.9,8
"235","Idaho",1987,95,9.740723,22,0.14765002,107.1,8
"236","Idaho",1988,84.5,9.766004,21.1,0.14619446,121.9,8
"237","Idaho",1989,78.4,9.827927,21.6,0.14473888,133.6,8
"238","Idaho",1990,90.1,9.839928,22.9,0.14328332,141.3,8
"239","Idaho",1991,85.4,9.835094,22.2,NA,144.4,8
"240","Idaho",1992,85.1,9.85615,22.6,NA,167.2,8
"241","Idaho",1993,86.7,9.877363,21.8,NA,171.2,8
"242","Idaho",1994,93,9.903079,21.4,NA,150.5,8
"243","Idaho",1995,78.2,9.919679,20.1,NA,163.5,8
"244","Idaho",1996,73.6,9.933634,20.6,NA,176.5,8
"245","Idaho",1997,75,9.921952,20.1,NA,184.4,8
"246","Idaho",1998,78.9,NA,NA,NA,187.1,8
"247","Idaho",1999,75.1,NA,NA,NA,210.7,8
"248","Idaho",2000,66.9,NA,NA,NA,275.9,8
"249","Illinois",1970,124.8,NA,NA,0.16696669,41.4,9
"250","Illinois",1971,125.6,NA,NA,0.1689976,41.4,9
"251","Illinois",1972,126.6,9.908161,NA,0.17102851,41.9,9
"252","Illinois",1973,124.4,9.9615965,NA,0.1730594,41,9
"253","Illinois",1974,131.9,9.946315,NA,0.17509031,41.9,9
"254","Illinois",1975,131.8,9.93419,NA,0.17712122,45.2,9
"255","Illinois",1976,134.4,9.965498,NA,0.17915213,48.4,9
"256","Illinois",1977,134,9.996949,NA,0.18118304,49.4,9
"257","Illinois",1978,136.7,10.023603,NA,0.18321393,54.6,9
"258","Illinois",1979,135.3,10.013675,NA,0.18524484,56.8,9
"259","Illinois",1980,135.2,9.9621725,NA,0.18727575,60,9
"260","Illinois",1981,133,9.965017,NA,0.1830271,63.1,9
"261","Illinois",1982,130.7,9.944979,NA,0.17877847,69.6,9
"262","Illinois",1983,127.9,9.954803,NA,0.17452982,80.8,9
"263","Illinois",1984,124,10.003144,24.6,0.17028119,89.6,9
"264","Illinois",1985,121.6,10.020819,24.3,0.16603254,96.7,9
"265","Illinois",1986,118.2,10.0553,24.7,0.16178389,108.4,9
"266","Illinois",1987,109.5,10.067755,25.1,0.15753525,116.2,9
"267","Illinois",1988,107.6,10.087956,25,0.1532866,124.1,9
"268","Illinois",1989,104.6,10.113907,24.4,0.14903797,132.7,9
"269","Illinois",1990,94.1,10.116749,25.7,0.14478932,147.3,9
"270","Illinois",1991,96.1,10.098239,24.4,NA,154,9
"271","Illinois",1992,94.8,10.123287,23.8,NA,179.8,9
"272","Illinois",1993,94.6,10.127834,23.5,NA,187.5,9
"273","Illinois",1994,85.7,10.154192,23.6,NA,182.1,9
"274","Illinois",1995,84.3,10.200355,23.2,NA,185.2,9
"275","Illinois",1996,81.8,10.224244,22.9,NA,188.7,9
"276","Illinois",1997,79.6,10.236586,22.9,NA,198.7,9
"277","Illinois",1998,80.3,NA,NA,NA,202.3,9
"278","Illinois",1999,72.2,NA,NA,NA,240.5,9
"279","Illinois",2000,70,NA,NA,NA,312.7,9
"280","Indiana",1970,134.6,NA,NA,0.17651588,30.6,10
"281","Indiana",1971,139.3,NA,NA,0.17797175,32.2,10
"282","Indiana",1972,149.2,9.731873,NA,0.17942764,32.5,10
"283","Indiana",1973,156,9.806883,NA,0.18088353,32.9,10
"284","Indiana",1974,159.6,9.763185,NA,0.1823394,34.5,10
"285","Indiana",1975,162.4,9.743661,NA,0.18379527,36.7,10
"286","Indiana",1976,166.6,9.798755,NA,0.18525116,38.7,10
"287","Indiana",1977,173,9.833315,NA,0.18670705,40.6,10
"288","Indiana",1978,150.9,9.865232,NA,0.18816292,50,10
"289","Indiana",1979,148.9,9.851489,NA,0.1896188,52.5,10
"290","Indiana",1980,146.9,9.795776,NA,0.19107468,53.7,10
"291","Indiana",1981,148.5,9.78815,NA,0.18707843,58.3,10
"292","Indiana",1982,147.7,9.757754,NA,0.18308216,65.1,10
"293","Indiana",1983,143,9.775058,NA,0.17908591,75.7,10
"294","Indiana",1984,137.8,9.829457,22,0.17508966,85.2,10
"295","Indiana",1985,135.3,9.844302,22,0.1710934,88.8,10
"296","Indiana",1986,137.6,9.882232,22.1,0.16709714,93.6,10
"297","Indiana",1987,134,9.897043,21.9,0.16310088,100.1,10
"298","Indiana",1988,134,9.915045,21.9,0.15910463,109.3,10
"299","Indiana",1989,132.5,9.936582,21.5,0.15510836,119,10
"300","Indiana",1990,128.3,9.935142,22.4,0.15111211,130.8,10
"301","Indiana",1991,127.2,9.9210825,21.6,NA,135.8,10
"302","Indiana",1992,128.2,9.953797,20.7,NA,153.5,10
"303","Indiana",1993,126.8,9.965633,20.5,NA,157.5,10
"304","Indiana",1994,128.2,10.001348,20.6,NA,146.6,10
"305","Indiana",1995,135.4,10.043711,20.1,NA,146.3,10
"306","Indiana",1996,135.1,10.060887,20.3,NA,147.8,10
"307","Indiana",1997,135.3,10.0521145,20.3,NA,156.3,10
"308","Indiana",1998,135.9,NA,NA,NA,166.8,10
"309","Indiana",1999,133.3,NA,NA,NA,190,10
"310","Indiana",2000,125.5,NA,NA,NA,260.2,10
"311","Iowa",1970,108.5,NA,NA,0.16884956,37.7,11
"312","Iowa",1971,108.4,NA,NA,0.170839,38.5,11
"313","Iowa",1972,109.4,9.730265,NA,0.17282845,41.9,11
"314","Iowa",1973,110.6,9.858372,NA,0.17481789,41.9,11
"315","Iowa",1974,116.1,9.788277,NA,0.17680733,43.2,11
"316","Iowa",1975,120.5,9.800288,NA,0.17879677,45.4,11
"317","Iowa",1976,124.4,9.803332,NA,0.18078622,47.8,11
"318","Iowa",1977,125.5,9.83932,NA,0.18277566,49.4,11
"319","Iowa",1978,127.1,9.914184,NA,0.1847651,54.6,11
"320","Iowa",1979,124.2,9.881053,NA,0.18675455,56.4,11
"321","Iowa",1980,124.6,9.810102,NA,0.188744,58.8,11
"322","Iowa",1981,132.9,9.838684,NA,0.18403523,61.4,11
"323","Iowa",1982,116.2,9.795305,NA,0.17932646,72.8,11
"324","Iowa",1983,115.6,9.783572,NA,0.17461771,84,11
"325","Iowa",1984,111.2,9.831582,23.9,0.16990894,93.3,11
"326","Iowa",1985,109.4,9.839345,22.9,0.16520017,99.5,11
"327","Iowa",1986,104.1,9.870234,23.3,0.1604914,104.8,11
"328","Iowa",1987,101.1,9.887944,23.1,0.15578264,117.1,11
"329","Iowa",1988,100.2,9.875571,23,0.15107389,124.2,11
"330","Iowa",1989,94.4,9.915924,22.7,0.14636512,145.1,11
"331","Iowa",1990,95.4,9.927806,23.6,0.14165635,149.6,11
"332","Iowa",1991,97.1,9.911109,23.5,NA,155.4,11
"333","Iowa",1992,95.2,9.942481,23.3,NA,178.5,11
"334","Iowa",1993,92.5,9.920983,23,NA,189.7,11
"335","Iowa",1994,93.4,9.996867,23.3,NA,171.4,11
"336","Iowa",1995,93,10.001849,22.7,NA,179,11
"337","Iowa",1996,94,10.0490055,23.1,NA,183.8,11
"338","Iowa",1997,93.9,10.049283,23.3,NA,189.3,11
"339","Iowa",1998,94,NA,NA,NA,193.8,11
"340","Iowa",1999,91.7,NA,NA,NA,213,11
"341","Iowa",2000,88.9,NA,NA,NA,286.3,11
"342","Kansas",1970,114,NA,NA,0.18052468,34.2,12
"343","Kansas",1971,102.8,NA,NA,0.18155004,38.9,12
"344","Kansas",1972,111,9.768118,NA,0.1825754,38.8,12
"345","Kansas",1973,115.2,9.838229,NA,0.18360078,39.3,12
"346","Kansas",1974,118.6,9.810897,NA,0.18462615,40.2,12
"347","Kansas",1975,123.4,9.800612,NA,0.18565151,42.7,12
"348","Kansas",1976,127.7,9.830626,NA,0.18667687,46.6,12
"349","Kansas",1977,127.9,9.848077,NA,0.18770224,48.1,12
"350","Kansas",1978,127.1,9.875605,NA,0.18872762,52.6,12
"351","Kansas",1979,126.4,9.903797,NA,0.18975298,54.8,12
"352","Kansas",1980,127.1,9.862444,NA,0.19077834,58.3,12
"353","Kansas",1981,132,9.877179,NA,0.18572941,59.8,12
"354","Kansas",1982,130.9,9.881304,NA,0.1806805,65.1,12
"355","Kansas",1983,127.6,9.885566,NA,0.17563158,77,12
"356","Kansas",1984,121.7,9.916465,20.7,0.17058265,91,12
"357","Kansas",1985,115.7,9.935948,20.1,0.16553372,97.5,12
"358","Kansas",1986,109.4,9.961418,19.9,0.1604848,103,12
"359","Kansas",1987,105.2,9.96282,19.7,0.15543589,114.5,12
"360","Kansas",1988,103.2,9.969703,19.3,0.15038696,123.9,12
"361","Kansas",1989,96.5,9.962953,19.4,0.14533803,136.5,12
"362","Kansas",1990,94.3,9.983666,19.7,0.14028911,145.8,12
"363","Kansas",1991,91.8,9.976418,20,NA,152.7,12
"364","Kansas",1992,90,9.998267,19.2,NA,174.2,12
"365","Kansas",1993,89.9,10.002069,19.4,NA,174.2,12
"366","Kansas",1994,89.1,10.026579,19.5,NA,159.6,12
"367","Kansas",1995,90.1,10.044954,19.1,NA,165.7,12
"368","Kansas",1996,88.7,10.076406,18.9,NA,167.7,12
"369","Kansas",1997,89.2,10.087141,19.7,NA,171.3,12
"370","Kansas",1998,87.6,NA,NA,NA,184.3,12
"371","Kansas",1999,83.3,NA,NA,NA,207,12
"372","Kansas",2000,79.8,NA,NA,NA,271.2,12
"373","Kentucky",1970,155.8,NA,NA,0.18131015,28.3,13
"374","Kentucky",1971,163.5,NA,NA,0.18229958,30.1,13
"375","Kentucky",1972,179.4,9.5474825,NA,0.18328904,30.6,13
"376","Kentucky",1973,201.9,9.598115,NA,0.18427849,30.6,13
"377","Kentucky",1974,212.4,9.600525,NA,0.18526793,31.5,13
"378","Kentucky",1975,223,9.579324,NA,0.18625736,33.3,13
"379","Kentucky",1976,230.9,9.624857,NA,0.18724681,36,13
"380","Kentucky",1977,229.4,9.672666,NA,0.18823627,36.9,13
"381","Kentucky",1978,224.7,9.703743,NA,0.1892257,41.4,13
"382","Kentucky",1979,214.9,9.70251,NA,0.19021514,43.4,13
"383","Kentucky",1980,215.3,9.661359,NA,0.1912046,46.3,13
"384","Kentucky",1981,209.7,9.665572,NA,0.18725346,49.4,13
"385","Kentucky",1982,210.6,9.65426,NA,0.18330234,56.3,13
"386","Kentucky",1983,201.1,9.642765,NA,0.17935121,66.4,13
"387","Kentucky",1984,183.2,9.699555,18.5,0.17540008,75.4,13
"388","Kentucky",1985,182.4,9.703631,18.9,0.17144895,79.3,13
"389","Kentucky",1986,179.8,9.729917,19.2,0.16749783,85.4,13
"390","Kentucky",1987,171.2,9.739725,19,0.1635467,90.5,13
"391","Kentucky",1988,173.2,9.758579,19.1,0.15959556,94.4,13
"392","Kentucky",1989,171.6,9.787341,18.3,0.15564445,103.8,13
"393","Kentucky",1990,182.5,9.804601,20.1,0.15169331,115.6,13
"394","Kentucky",1991,170.4,9.808981,19.4,NA,120.5,13
"395","Kentucky",1992,167.6,9.841689,19,NA,135.8,13
"396","Kentucky",1993,167.6,9.84325,19.3,NA,145.4,13
"397","Kentucky",1994,170.1,9.8684,19.6,NA,132.8,13
"398","Kentucky",1995,175.3,9.903476,18.9,NA,134.8,13
"399","Kentucky",1996,179,9.927487,19.1,NA,139.8,13
"400","Kentucky",1997,186.8,9.9321785,19.3,NA,145.6,13
"401","Kentucky",1998,171.3,NA,NA,NA,155.7,13
"402","Kentucky",1999,165.3,NA,NA,NA,179.2,13
"403","Kentucky",2000,156.2,NA,NA,NA,243.4,13
"404","Louisiana",1970,115.9,NA,NA,0.18518518,34.3,14
"405","Louisiana",1971,119.8,NA,NA,0.18678078,39.3,14
"406","Louisiana",1972,125.3,9.5173645,NA,0.18837638,40,14
"407","Louisiana",1973,126.7,9.564111,NA,0.189972,39.9,14
"408","Louisiana",1974,129.9,9.57982,NA,0.1915676,41.6,14
"409","Louisiana",1975,133.6,9.585208,NA,0.1931632,44.3,14
"410","Louisiana",1976,139.6,9.644329,NA,0.1947588,48.1,14
"411","Louisiana",1977,140,9.679078,NA,0.1963544,48.9,14
"412","Louisiana",1978,142.7,9.731681,NA,0.19795002,54.2,14
"413","Louisiana",1979,140.1,9.737775,NA,0.19954562,57.1,14
